comment,sentiment,Unnamed: 2,tokens
sai kha ya her kisi kay bus ki bat nhi hai lakin main ki hal kal bi aj aur aj bi sirf aus say bus,positive,,"['sai', 'kha', 'ya', 'her', 'kisi', 'kay', 'bus', 'ki', 'bat', 'nhi', 'hai', 'lakin', 'main', 'ki', 'hal', 'kal', 'bi', 'aj', 'aur', 'aj', 'bi', 'sirf', 'aus', 'say', 'bus']"
sahi but haan,positive,,"['sahi', 'but', 'haan']"
kya but hai,positive,,"['kya', 'but', 'hai']"
wah je wah,positive,,"['wah', 'je', 'wah']"
are wha kaya bat hai,positive,,"['are', 'wha', 'kaya', 'bat', 'hai']"
wah kya baat likhi,positive,,"['wah', 'kya', 'baat', 'likhi']"
wha itni sari khubiya,positive,,"['wha', 'itni', 'sari', 'khubiya']"
itni khubiya,positive,,"['itni', 'khubiya']"
ya allah rehm farma hm sab pe or zalimo ko hidayat de ameen,positive,,"['ya', 'allah', 'rehm', 'farma', 'hm', 'sab', 'pe', 'or', 'zalimo', 'ko', 'hidayat', 'de', 'ameen']"
please everyone allah s w t ka naam hamesha bary lawzo main likha kary wo he zaat sub say bari hey,positive,,"['please', 'everyone', 'allah', 's', 'w', 't', 'ka', 'naam', 'hamesha', 'bary', 'lawzo', 'main', 'likha', 'kary', 'wo', 'he', 'zaat', 'sub', 'say', 'bari', 'hey']"
ya mere rab tu bra kreem hy is mulk kay halat pr reham frma is watn e aziz ki hifazat frma amin,positive,,"['ya', 'mere', 'rab', 'tu', 'bra', 'kreem', 'hy', 'is', 'mulk', 'kay', 'halat', 'pr', 'reham', 'frma', 'is', 'watn', 'e', 'aziz', 'ki', 'hifazat', 'frma', 'amin']"
jaago pakistani coom jaago ye humary nokar han humarey tex se inko tankha milti haan or ye hum pakitani awam ko hi martey han jaago pakistan key logo,positive,,"['jaago', 'pakistani', 'coom', 'jaago', 'ye', 'humary', 'nokar', 'han', 'humarey', 'tex', 'se', 'inko', 'tankha', 'milti', 'haan', 'or', 'ye', 'hum', 'pakitani', 'awam', 'ko', 'hi', 'martey', 'han', 'jaago', 'pakistan', 'key', 'logo']"
kia kia jae kon sacha haan allah jany pak kese bdl sakta haan i think 7 nsl to ase e guzr jain gi bd main koi hua to pta ni,positive,,"['kia', 'kia', 'jae', 'kon', 'sacha', 'haan', 'allah', 'jany', 'pak', 'kese', 'bdl', 'sakta', 'haan', 'i', 'think', '7', 'nsl', 'to', 'ase', 'e', 'guzr', 'jain', 'gi', 'bd', 'main', 'koi', 'hua', 'to', 'pta', 'ni']"
afsos hota hai garip insan kha jay allah ki lati main awaz hai jo zulum kry ga allah ki lati pary gi,positive,,"['afsos', 'hota', 'hai', 'garip', 'insan', 'kha', 'jay', 'allah', 'ki', 'lati', 'main', 'awaz', 'hai', 'jo', 'zulum', 'kry', 'ga', 'allah', 'ki', 'lati', 'pary', 'gi']"
allah insaaf karey,positive,,"['allah', 'insaaf', 'karey']"
allah musalman phir dor e jahalat main jaraha haan hiyaday farma aese logo ko jo awam ki zindgiyo ko azab bana rahy hai inko to garak kardy,positive,,"['allah', 'musalman', 'phir', 'dor', 'e', 'jahalat', 'main', 'jaraha', 'haan', 'hiyaday', 'farma', 'aese', 'logo', 'ko', 'jo', 'awam', 'ki', 'zindgiyo', 'ko', 'azab', 'bana', 'rahy', 'hai', 'inko', 'to', 'garak', 'kardy']"
je thik kaha right,positive,,"['je', 'thik', 'kaha', 'right']"
jee ye to he,positive,,"['jee', 'ye', 'to', 'he']"
maa cheez e ase haan jis ka koi namil badl ni,positive,,"['maa', 'cheez', 'e', 'ase', 'haan', 'jis', 'ka', 'koi', 'namil', 'badl', 'ni']"
wah wah yeh toh hy,positive,,"['wah', 'wah', 'yeh', 'toh', 'hy']"
jee ye to he,positive,,"['jee', 'ye', 'to', 'he']"
zenda bad yar,positive,,"['zenda', 'bad', 'yar']"
es leay muskurany ki koshish kia karo es se wo loug ju apk rouny pr muskuraty hain wo loug phir apki hansi pe jalyn gy,positive,,"['es', 'leay', 'muskurany', 'ki', 'koshish', 'kia', 'karo', 'es', 'se', 'wo', 'loug', 'ju', 'apk', 'rouny', 'pr', 'muskuraty', 'hain', 'wo', 'loug', 'phir', 'apki', 'hansi', 'pe', 'jalyn', 'gy']"
wha bhut qoob,positive,,"['wha', 'bhut', 'qoob']"
right or sada time same nahi rehtaaaaaa,positive,,"['right', 'or', 'sada', 'time', 'same', 'nahi', 'rehtaaaaaa']"
wha wha kaya bat hai,positive,,"['wha', 'wha', 'kaya', 'bat', 'hai']"
bohat khoob so true alhamdulillah,positive,,"['bohat', 'khoob', 'so', 'true', 'alhamdulillah']"
dil main khud aaka ho nala jm hai akbaal sjdo main pde rahna rahne se jnnat nahi milee yhi likha hai bahi,positive,,"['dil', 'main', 'khud', 'aaka', 'ho', 'nala', 'jm', 'hai', 'akbaal', 'sjdo', 'main', 'pde', 'rahna', 'rahne', 'se', 'jnnat', 'nahi', 'milee', 'yhi', 'likha', 'hai', 'bahi']"
sjdo main bhi wo hi pda he jis kay dil main khuda ka dr he,positive,,"['sjdo', 'main', 'bhi', 'wo', 'hi', 'pda', 'he', 'jis', 'kay', 'dil', 'main', 'khuda', 'ka', 'dr', 'he']"
beshaq haq baat hai,positive,,"['beshaq', 'haq', 'baat', 'hai']"
right haan but bar bar ak hi insan q berdash karea yr ye sub batamize kerne wala bhi to samjhea,positive,,"['right', 'haan', 'but', 'bar', 'bar', 'ak', 'hi', 'insan', 'q', 'berdash', 'karea', 'yr', 'ye', 'sub', 'batamize', 'kerne', 'wala', 'bhi', 'to', 'samjhea']"
right mara jasa masom log,positive,,"['right', 'mara', 'jasa', 'masom', 'log']"
mashaallah,positive,,['mashaallah']
mubarak,positive,,['mubarak']
ma hun hero tara 3,positive,,"['ma', 'hun', 'hero', 'tara', '3']"
