comment,sentiment,tokens
اللہ آپکو سلامت رکھے جزائے خیر عطا فرمائے اور حق بیانی کا حق ادا کرتے رہیں,positive,"['اللہ', 'آپکو', 'سلامت', 'رکھے', 'جزائے', 'خیر', 'عطا', 'فرمائے', 'اور', 'حق', 'بیانی', 'کا', 'حق', 'ادا', 'کرتے', 'رہیں']"
اللہ سب سے بڑا ہے,positive,"['اللہ', 'سب', 'سے', 'بڑا', 'ہے']"
سید محسن رضا نقوی پر یقین کرنے کو دل کرتا ھے کیونکہ انھیں جو ٹاسک ملتا ھے وہ اسے بخوبی پورا کرتے ھیں,positive,"['سید', 'محسن', 'رضا', 'نقوی', 'پر', 'یقین', 'کرنے', 'کو', 'دل', 'کرتا', 'ھے', 'کیونکہ', 'انھیں', 'جو', 'ٹاسک', 'ملتا', 'ھے', 'وہ', 'اسے', 'بخوبی', 'پورا', 'کرتے', 'ھیں']"
نیازی خان ہیرو ثابت ہوا جیسے بڑوں گی مرضی,positive,"['نیازی', 'خان', 'ہیرو', 'ثابت', 'ہوا', 'جیسے', 'بڑوں', 'گی', 'مرضی']"
آپ کی عظمت کو سلام شاہ جی,positive,"['آپ', 'کی', 'عظمت', 'کو', 'سلام', 'شاہ', 'جی']"
بہت اچھا ہوا عامر کو ٹیم واپس لیا ہے,positive,"['بہت', 'اچھا', 'ہوا', 'عامر', 'کو', 'ٹیم', 'واپس', 'لیا', 'ہے']"
کنگ عامر اس وقت بلاشبہ پاکستان کا سب سے بہترین باؤلر ہے جو سب سے زیادہ ذہین ہے اور ہوم ورک کرکے گراؤنڈ میں اترتا ہے,positive,"['کنگ', 'عامر', 'اس', 'وقت', 'بلاشبہ', 'پاکستان', 'کا', 'سب', 'سے', 'بہترین', 'باؤلر', 'ہے', 'جو', 'سب', 'سے', 'زیادہ', 'ذہین', 'ہے', 'اور', 'ہوم', 'ورک', 'کرکے', 'گراؤنڈ', 'میں', 'اترتا', 'ہے']"
آپ تو خوش ہیں,positive,"['آپ', 'تو', 'خوش', 'ہیں']"
انضمام نے اپنی ہیٹ ٹرک مکمل کرلی,positive,"['انضمام', 'نے', 'اپنی', 'ہیٹ', 'ٹرک', 'مکمل', 'کرلی']"
پروپیگنڈوں کے باوجود بابر اعظم نے پرفارم کر کے سارے تنقیدیوں کو حیران و پریشان کر دیا,positive,"['پروپیگنڈوں', 'کے', 'باوجود', 'بابر', 'اعظم', 'نے', 'پرفارم', 'کر', 'کے', 'سارے', 'تنقیدیوں', 'کو', 'حیران', 'و', 'پریشان', 'کر', 'دیا']"
اسلام علیکم یہ دونو بہتر ہے,positive,"['اسلام', 'علیکم', 'یہ', 'دونو', 'بہتر', 'ہے']"
واعلیکم السلام محترم سید یحیی حسینی صاحب آپ کی گفتگو ایک مخصوص محتاط دائیرہ میں تک محدود رہنے کے باوجود ہم وطنوں کو کرکٹ کے کھیل کے اسرار رموز سے آگہی فراہم کر رہا ہے,positive,"['واعلیکم', 'السلام', 'محترم', 'سید', 'یحیی', 'حسینی', 'صاحب', 'آپ', 'کی', 'گفتگو', 'ایک', 'مخصوص', 'محتاط', 'دائیرہ', 'میں', 'تک', 'محدود', 'رہنے', 'کے', 'باوجود', 'ہم', 'وطنوں', 'کو', 'کرکٹ', 'کے', 'کھیل', 'کے', 'اسرار', 'رموز', 'سے', 'آگہی', 'فراہم', 'کر', 'رہا', 'ہے']"
قوی امکان ہے کہ پاکستان ٹیسٹ میں ایک کامیابی حاصل کرنے میں کامیاب ہوجائے گا بابر اعظم سینچری بنا سکتے ہیں,positive,"['قوی', 'امکان', 'ہے', 'کہ', 'پاکستان', 'ٹیسٹ', 'میں', 'ایک', 'کامیابی', 'حاصل', 'کرنے', 'میں', 'کامیاب', 'ہوجائے', 'گا', 'بابر', 'اعظم', 'سینچری', 'بنا', 'سکتے', 'ہیں']"
